Date,Price,Open,High,Low
2018-08-08,47083,46704,47310,46249
2018-08-10,47304,47612,47919,47304
2018-08-11,42774,43542,43618,42774
2018-08-13,48372,47765,48372,47159
2018-08-14,47614,48372,48372,47538
2018-08-15,45946,47917,48068,45870
2018-08-16,45946,45491,46249,44657
2018-08-17,47007,46325,47689,46097
2018-08-20,46552,47007,47386,46552
2018-08-21,47538,46249,47538,46249
2018-08-22,46931,47614,47765,46931
2018-08-23,47462,47007,47614,46704
2018-08-24,47007,47462,47462,46855
2018-08-27,47841,47386,48144,47310
2018-08-28,48523,48144,48751,47689
2018-08-29,47841,48447,48599,47841
2018-08-30,48372,47841,48675,47310
2018-08-31,47386,48372,48523,47007
2018-09-01,44353,42458,44353,41321
2018-09-02,46173,44353,47234,44353
2018-09-03,53831,53451,54210,52769
2018-09-04,55953,55726,56333,55726
2018-09-05,45112,46021,46249,45112
2018-09-07,40942,41700,42761,40942
2018-09-08,46476,47083,47538,46476
2018-09-10,47381,47458,47765,47304
2018-09-11,41698,42390,42774,41698
2018-09-13,47689,47614,48068,47462
2018-09-14,48523,47917,48827,47917
2018-09-17,47689,48523,48523,47689
2018-09-18,47993,47386,47993,47234
2018-09-19,47993,48296,48296,47841
2018-09-20,48827,47993,48978,47993
2018-09-21,48978,49281,49812,48523
2018-09-24,49433,49661,49812,49130
2018-09-25,48827,49130,49433,48827
2018-09-26,48372,48827,49206,48372
2018-09-27,48068,48372,48675,47917
2018-09-28,47765,48296,48523,47765
2018-10-01,43974,44202,44884,43444
2018-10-04,56484,56484,57091,55802
2018-10-05,42837,45415,45642,42155
2018-10-07,40259,42079,42079,40259
2018-10-08,48144,46249,48144,46249
2018-10-09,47007,47007,47462,46325
2018-10-10,47381,47535,47612,47151
2018-10-12,43695,43925,44079,43465
2018-10-15,45385,45922,46076,45077
2018-10-16,45461,45308,45769,45231
2018-10-17,45461,45999,45999,45385
2018-10-18,44540,45308,45461,44463
2018-10-19,44309,43772,45001,43772
2018-10-22,43849,44924,45154,43849
2018-10-23,42850,43772,44002,41468
2018-10-24,42620,42850,43465,42620
2018-10-25,42082,40700,42390,40700
2018-10-26,41084,42927,42927,41084
2018-10-29,40623,40931,41391,40316
2018-10-30,41622,40623,41698,40470
2018-10-31,42697,41622,43542,41622
2018-11-01,44581,43595,44581,43368
2018-11-04,53982,56636,56712,53072
2018-11-05,43898,42837,43974,41321
2018-11-06,44732,45036,45718,44353
2018-11-07,38819,39349,39804,37985
2018-11-09,47765,46628,47841,46628
2018-11-10,44309,46076,46076,44156
2018-11-12,43618,43695,43925,43158
2018-11-13,41161,40931,41698,40931
2018-11-14,40854,41161,41698,40547
2018-11-15,41007,40854,41161,40316
2018-11-16,40854,41468,41545,40777
2018-11-19,41468,41468,41468,40854
2018-11-20,41315,41468,41468,40931
2018-11-21,42543,40777,42543,40700
2018-11-22,42082,42236,42620,42006
2018-11-23,41468,42006,42236,41468
2018-11-26,41468,41468,41698,41238
2018-11-27,41007,41775,42006,40854
2018-11-28,42313,41007,42313,41007
2018-11-29,42236,42697,43311,42236
2018-11-30,42543,42159,43004,42082
2018-12-01,43974,44581,45036,43974
2018-12-02,48144,47007,48144,46021
2018-12-03,54589,54589,55650,54210
2018-12-04,53755,53755,54210,53072
2018-12-06,43974,44353,44732,42837
2018-12-07,39728,38819,40638,38288
2018-12-09,47462,47917,48220,47386
2018-12-10,45999,43772,45999,43772
2018-12-11,41929,41468,41929,40547
2018-12-12,44540,44002,44540,43618
2018-12-13,44233,44770,44847,44233
2018-12-14,43388,44156,44233,43388
