Date,Price,Open,High,Low,Vol.,Change %
6/17/2021,36326.60,35297.80,36682.80,35297.80,4.50M,1.32%
6/18/2021,36524.50,36603.60,36801.50,36168.30,4.02M,0.54%
6/21/2021,35614.30,36326.60,36405.80,35495.60,5.33M,-2.49%
6/22/2021,35614.30,35851.80,35970.50,35535.20,3.50M,0.00%
6/23/2021,35930.90,35535.20,36722.30,35535.20,3.24M,0.89%
6/24/2021,35772.60,35930.90,36326.60,35614.30,2.65M,-0.44%
6/25/2021,36049.60,35693.50,36405.80,35376.90,3.24M,0.77%
6/28/2021,37118.00,36405.80,37276.30,36128.80,8.41M,2.96%
6/29/2021,37118.00,37197.20,37909.50,36880.60,4.96M,0.00%
6/30/2021,37395.00,37118.00,37553.30,37078.50,5.03M,0.75%
7/1/2021,37434.60,37592.90,37711.60,37078.50,5.79M,0.11%
7/2/2021,37236.80,37592.90,37790.80,37118.00,5.29M,-0.53%
7/5/2021,36920.20,37236.80,37236.80,35772.60,4.39M,-0.85%
7/6/2021,34822.90,37118.00,38463.50,34822.90,8.67M,-5.68%
7/7/2021,36010.00,35218.60,36128.80,34506.30,4.96M,3.41%
7/8/2021,36247.50,36010.00,36524.50,35574.80,2.68M,0.66%
7/9/2021,35535.20,35772.60,36405.80,34822.90,4.51M,-1.97%
7/12/2021,33240.00,35297.80,35297.80,33081.70,7.57M,-6.46%
7/13/2021,33556.60,33635.80,33833.60,32883.90,2.49M,0.95%
7/14/2021,33714.90,33635.80,33794.00,32448.60,2.25M,0.47%
7/15/2021,33794.00,33279.60,34150.20,33240.00,2.26M,0.23%
7/16/2021,33635.80,33873.20,34031.50,33635.80,1.78M,-0.47%
7/19/2021,31380.20,32527.70,33160.90,31380.20,3.72M,-6.71%
7/20/2021,32448.60,31419.70,32448.60,30786.60,3.41M,3.40%
7/21/2021,32211.20,32765.20,32765.20,32052.90,1.46M,-0.73%
7/22/2021,32448.60,32132.00,32527.70,32132.00,2.14M,0.74%
7/23/2021,31815.50,32369.50,32844.30,31815.50,2.29M,-1.95%
7/26/2021,31657.20,31657.20,31934.20,31261.50,1.81M,-0.50%
7/27/2021,31815.50,31973.70,32290.30,31775.90,1.80M,0.50%
7/28/2021,32052.90,31815.50,32052.90,31657.20,1.55M,0.75%
7/29/2021,32448.60,32290.30,32448.60,32132.00,1.48M,1.23%
7/30/2021,32527.70,32686.00,32725.60,32409.00,2.56M,0.24%
8/2/2021,33675.30,33240.00,33991.90,33240.00,4.98M,3.53%
8/3/2021,34308.50,33477.50,34308.50,33319.20,3.48M,1.88%
8/4/2021,34031.50,34348.00,34427.20,33794.00,2.69M,-0.81%
8/5/2021,33991.90,33714.90,34427.20,33477.50,2.66M,-0.12%
8/6/2021,33952.30,33991.90,34348.00,33714.90,2.35M,-0.12%
8/9/2021,34150.20,33675.30,34150.20,33517.00,2.19M,0.58%
8/10/2021,34268.90,34229.30,34427.20,34071.00,2.35M,0.35%
8/11/2021,34110.60,34268.90,34902.00,33952.30,3.45M,-0.46%
8/12/2021,33873.20,34308.50,34348.00,33873.20,2.15M,-0.70%
8/13/2021,33675.30,33754.50,34031.50,33081.70,2.90M,-0.58%
8/16/2021,34268.90,33517.00,34427.20,33240.00,4.13M,1.76%
8/17/2021,33991.90,34506.30,34506.30,33873.20,1.97M,-0.81%
8/18/2021,33754.50,33952.30,34031.50,33635.80,1.90M,-0.70%
8/19/2021,33635.80,33714.90,33714.90,33358.80,2.27M,-0.35%
8/20/2021,32052.90,33714.90,33952.30,31657.20,5.49M,-4.71%
8/23/2021,31103.20,32052.90,32290.30,31103.20,3.45M,-2.96%
8/24/2021,31182.30,31103.20,31419.70,30786.60,3.20M,0.25%
8/25/2021,31221.90,31261.50,31301.00,30865.70,1.39M,0.13%
