Date,Price,Open,High,Low,Vol.,Change %
4/25/2022,26800.00,28800.00,29000.00,26800.00,14.39M,-6.94%
4/26/2022,27400.00,26600.00,27500.00,25650.00,11.11M,2.24%
4/27/2022,28200.00,27000.00,28200.00,26450.00,8.59M,2.92%
4/28/2022,27700.00,27850.00,28200.00,27400.00,6.52M,-1.77%
4/29/2022,27700.00,27550.00,28150.00,27400.00,11.17M,0.00%
5/4/2022,26750.00,27700.00,27700.00,26700.00,8.98M,-3.43%
5/5/2022,26900.00,27000.00,27050.00,25900.00,13.51M,0.56%
5/6/2022,25500.00,26000.00,26600.00,25400.00,15.25M,-5.20%
5/9/2022,23750.00,25100.00,25100.00,23750.00,23.97M,-6.86%
5/10/2022,23900.00,22550.00,23900.00,22550.00,18.39M,0.63%
5/11/2022,23550.00,23900.00,24000.00,22800.00,13.07M,-1.46%
5/12/2022,21950.00,23450.00,23450.00,21950.00,24.21M,-6.79%
5/13/2022,20450.00,21500.00,21950.00,20450.00,22.54M,-6.83%
5/16/2022,19050.00,21100.00,21300.00,19050.00,35.19M,-6.85%
5/17/2022,20350.00,18700.00,20350.00,18600.00,30.82M,6.82%
5/18/2022,21750.00,20950.00,21750.00,20700.00,27.10M,6.88%
5/19/2022,21750.00,21300.00,22400.00,21250.00,22.22M,0.00%
5/20/2022,21600.00,21750.00,22050.00,21500.00,14.33M,-0.69%
5/23/2022,20350.00,21750.00,21750.00,20150.00,30.82M,-5.79%
5/24/2022,21750.00,20350.00,21750.00,20100.00,17.95M,6.88%
5/25/2022,22750.00,22000.00,22850.00,22000.00,20.35M,4.60%
5/26/2022,22400.00,22600.00,22750.00,22300.00,15.27M,-1.54%
5/27/2022,22250.00,22500.00,22700.00,22100.00,15.04M,-0.67%
5/30/2022,22800.00,22450.00,23000.00,22250.00,16.39M,2.47%
5/31/2022,22350.00,22600.00,22800.00,22350.00,12.81M,-1.97%
6/1/2022,22250.00,22300.00,22600.00,22000.00,14.73M,-0.45%
6/2/2022,21550.00,22350.00,22400.00,21450.00,15.93M,-3.15%
6/3/2022,21150.00,21500.00,21700.00,20950.00,12.08M,-1.86%
6/6/2022,20500.00,21150.00,21400.00,20500.00,17.16M,-3.07%
6/7/2022,20200.00,20500.00,20550.00,19800.00,16.80M,-1.46%
6/8/2022,21600.00,20400.00,21600.00,20300.00,11.49M,6.93%
6/9/2022,22300.00,22250.00,22350.00,21700.00,16.07M,3.24%
6/10/2022,21900.00,21800.00,22700.00,21750.00,17.45M,-1.79%
6/13/2022,20600.00,21050.00,21600.00,20500.00,16.68M,-5.94%
